Period (by month),mu,sd,,,,,,,,,,,,,,,,,,,,,
0,20.45909,0,,,,,,,,,,,,,,,,,,,,,
1,6.37596,6.2677,,,,,,,,,,,,,,,,,,,,,
2,6.54444,5.57407,,,,,,,,,,,,,,,,,,,,,
3,12.19401,10.64683,,,,,,,,,,,,,,,,,,,,,
4,11.33494,6.53871,,,,,,,,,,,,,,,,,,,,,
5,13.812801,5.200322,,,,,,,,,,,,,,,,,,,,,
6,15.626855,8.2567,,,,,,,,,,,,,,,,,,,,,
7,17.979339,10.802838,,,,,,,,,,,,,,,,,,,,,
8,22.26454,13.83264,,,,,,,,,,,,,,,,,,,,,
9,20.90067,11.688032,,,,,,,,,,,,,,,,,,,,,
10,24.07155,9.58569,,,,,,,,,,,,,,,,,,,,,
11,22.58772,9.79762,,,,,,,,,,,,,,,,,,,,,
12,25.20848,9.47167,,,,,,,,,,,,,,,,,,,,,
