Month,IYW,IYR,IDU,IYK,IYC,IYJ,IYM,IYH,IYG,IYZ,IYE
Jul-00,-6.06,9.56,7.00,-1.30,-0.88,-0.71,1.31,3.13,9.26,-7.23,-3.31
Aug-00,13.35,-2.48,13.53,0.35,-0.84,10.73,1.74,-3.26,11.02,-2.60,11.55
Sep-00,-16.12,3.61,9.72,-0.47,-1.60,-5.24,-10.13,-0.26,1.53,-5.10,2.07
Oct-00,-6.92,-5.08,-4.52,5.33,-0.57,-0.87,11.46,0.56,-1.60,1.68,-4.28
Nov-00,-23.38,1.18,0.26,-0.82,-6.96,-7.91,-1.86,5.14,-6.46,-18.76,-4.79
Dec-00,-8.79,6.95,8.07,2.56,3.28,2.29,14.88,-2.88,10.96,-6.45,12.39
1-Jan,16.10,0.82,-10.01,-1.28,11.88,1.35,-2.31,-2.16,2.65,18.12,-4.08
1-Feb,-28.44,-1.75,2.74,0.31,-6.44,-6.26,0.05,-0.23,-7.29,-12.59,0.40
1-Mar,-13.70,0.53,-0.08,-4.69,-4.84,-10.38,-4.14,0.60,-3.84,-7.35,-1.37
1-Apr,18.61,2.63,5.42,-0.27,8.26,12.53,9.09,-6.29,4.23,3.43,10.17
1-May,-4.49,2.25,-1.67,3.38,2.77,1.85,4.00,-2.12,4.13,-1.54,-1.12
1-Jun,0.83,5.76,-6.49,-1.15,-1.66,-4.63,-3.82,-9.18,-0.32,-3.11,-10.18
1-Jul,-7.07,-2.29,-5.01,0.90,-0.83,-2.88,0.13,-2.42,-0.45,2.30,-0.89
1-Aug,-12.67,3.06,-1.78,3.19,-9.00,-4.32,-0.61,0.61,-6.32,-9.34,-4.25
1-Sep,-21.71,-4.85,-9.56,-2.79,-13.73,-12.54,-11.92,-5.94,-7.20,0.00,-8.47
1-Oct,18.76,-3.34,-1.96,0.60,1.13,3.39,2.66,5.24,-1.51,-11.49,6.58
1-Nov,17.10,5.81,-3.92,3.30,13.06,9.95,11.81,2.80,7.28,2.64,-3.78
1-Dec,-1.50,2.38,3.39,1.05,3.08,4.18,-1.74,-3.58,3.42,2.29,6.52
2-Jan,1.12,0.02,-3.49,1.01,-0.79,-4.87,0.62,-0.35,-0.95,-9.15,-4.96
2-Feb,-14.40,1.88,-1.22,3.64,1.09,1.23,5.29,-2.09,-2.24,-7.58,3.78
2-Mar,7.61,5.98,9.66,3.80,2.16,2.87,4.08,3.82,8.38,-0.21,8.43
2-Apr,-12.32,0.58,-0.45,1.40,-3.17,-7.91,-5.19,3.69,-2.91,-14.52,-3.83
2-May,-4.33,1.66,-5.19,0.87,-0.46,0.07,4.20,3.21,0.46,0.14,-2.57
